dataset,algorithm,nmi
compound,ap,0.9999999999999999
compound,ag,1.0
compound,birch,1.0
compound,spectral,1.0
compound,meanshift,1.0
compound,optics,1.0
compound,db,1.0
cure-t0-2000n-2D,kmeans,0.2601503759398496
cure-t0-2000n-2D,ap,1.0
cure-t0-2000n-2D,ag,1.0
cure-t0-2000n-2D,birch,1.0
cure-t0-2000n-2D,spectral,1.0
cure-t0-2000n-2D,meanshift,1.0
cure-t0-2000n-2D,optics,1.0
cure-t0-2000n-2D,db,1.0
gaussians1,kmeans,0.4030075187969925
gaussians1,ap,0.9999999999999999
gaussians1,ag,1.0
gaussians1,birch,1.0
gaussians1,spectral,1.0
gaussians1,meanshift,1.0
gaussians1,optics,1.0
gaussians1,db,1.0
smile2,kmeans,0.3639097744360902
smile2,ap,0.942857142857143
smile2,ag,1.0
smile2,birch,1.0
smile2,spectral,1.0
smile2,meanshift,1.0
smile2,optics,1.0
smile2,db,1.0
sizes2,kmeans,0.6917293233082705
sizes2,ap,0.25
sizes2,ag,1.0
sizes2,birch,1.0
sizes2,spectral,1.0
sizes2,meanshift,1.0
sizes2,optics,1.0
sizes2,db,1.0
elly-2d10c13s,kmeans,0.32631578947368417
elly-2d10c13s,ap,1.0
elly-2d10c13s,ag,1.0
elly-2d10c13s,birch,1.0
elly-2d10c13s,spectral,1.0
elly-2d10c13s,meanshift,1.0
elly-2d10c13s,optics,1.0
elly-2d10c13s,db,1.0
tetra,kmeans,0.5834586466165413
tetra,ap,0.9999999999999999
tetra,ag,1.0
tetra,birch,1.0
tetra,spectral,1.0
tetra,meanshift,1.0
tetra,optics,0.9999999999999999
tetra,db,1.0
sizes3,kmeans,0.3639097744360902
sizes3,ap,0.6242424242424242
sizes3,ag,1.0
sizes3,birch,1.0
sizes3,spectral,1.0
sizes3,meanshift,1.0
sizes3,optics,1.0
sizes3,db,1.0
triangle2,kmeans,0.4330827067669173
triangle2,ap,1.0
triangle2,ag,1.0
triangle2,birch,1.0
triangle2,spectral,1.0
triangle2,meanshift,1.0
triangle2,optics,1.0
triangle2,db,1.0
square1,kmeans,0.45714285714285713
square1,ap,0.9999999999999999
square1,ag,1.0
square1,birch,1.0
square1,spectral,1.0
square1,meanshift,1.0
square1,optics,1.0
square1,db,1.0
twodiamonds,kmeans,0.6706766917293233
twodiamonds,ap,0.7333333333333332
twodiamonds,ag,1.0
twodiamonds,birch,1.0
twodiamonds,spectral,1.0
twodiamonds,meanshift,1.0
twodiamonds,optics,1.0
twodiamonds,db,1.0
zelnik4,kmeans,0.3699248120300751
zelnik4,ap,0.9999999999999999
zelnik4,ag,1.0
zelnik4,birch,1.0
zelnik4,spectral,1.0
zelnik4,meanshift,1.0
zelnik4,optics,1.0
zelnik4,db,1.0
pmf,kmeans,0.33082706766917286
pmf,ap,0.2380952380952381
pmf,ag,1.0
pmf,birch,1.0
pmf,spectral,1.0
pmf,meanshift,1.0
pmf,optics,1.0
pmf,db,1.0
sizes4,kmeans,0.42105263157894735
sizes4,ap,0.4761904761904762
